week,time range,weather,temp,is_holiday,flow of cars
3,2,3,19,0,215
3,2,3,19,0,176
4,1,3,19,0,219
4,1,3,19,0,151
4,1,3,19,0,122
4,1,3,19,0,174
4,1,3,19,0,110
4,1,3,19,0,126
4,1,3,19,0,168
4,1,3,19,0,136
4,1,3,19,0,113
4,1,3,19,0,89
4,1,3,19,0,112
4,1,3,19,0,114
4,1,3,19,0,105
4,1,3,19,0,89
4,1,3,19,0,123
4,1,3,19,0,110
4,1,3,19,0,121
4,1,3,19,0,124
4,1,3,19,0,81
4,1,3,19,0,74
4,1,3,19,0,95
4,1,3,19,0,55
4,1,3,19,0,59
4,1,3,19,0,64
4,2,3,25,0,106
4,2,3,25,0,110
4,2,3,25,0,352
4,2,3,25,0,560
4,2,3,25,0,573
4,2,3,25,0,717
4,2,3,25,0,832
4,2,3,25,0,773
4,2,3,25,0,778
4,2,3,25,0,610
4,2,3,25,0,630
4,2,3,25,0,480
4,2,3,25,0,484
4,2,3,25,0,569
4,2,3,25,0,527
4,2,3,25,0,468
4,2,3,25,0,559
4,2,3,25,0,416
4,2,3,25,0,379
4,2,3,25,0,466
4,2,3,25,0,502
4,2,3,25,0,464
4,2,3,25,0,400
4,2,3,25,0,500
4,2,3,25,0,390
4,2,3,25,0,388
4,2,3,25,0,401
4,2,3,25,0,406
4,2,3,25,0,398
4,2,3,25,0,423
4,2,3,25,0,424
4,2,3,25,0,455
4,2,3,25,0,492
4,2,3,25,0,465
4,2,3,25,0,441
4,2,3,25,0,467
4,2,3,25,0,494
4,2,3,25,0,482
4,2,3,25,0,396
4,2,3,25,0,532
4,2,3,25,0,666
4,2,3,25,0,600
4,2,3,25,0,692
4,2,3,25,0,477
4,2,3,25,0,613
4,2,3,25,0,744
4,2,3,25,0,703
4,2,3,25,0,638
4,2,3,12,0,809
4,2,3,12,0,682
4,2,3,12,0,611
4,2,3,12,0,541
4,2,3,12,0,567
4,2,3,12,0,598
4,2,3,12,0,487
4,2,3,12,0,468
4,2,3,12,0,467
4,2,3,12,0,457
4,2,3,12,0,439
4,2,3,12,0,450
4,2,3,12,0,428
4,2,3,12,0,390
4,2,3,12,0,411
4,2,3,12,0,371
4,2,3,12,0,357
4,2,3,12,0,326
4,2,3,12,0,308
4,2,3,12,0,317
4,2,3,12,0,255
4,2,3,12,0,228
4,2,3,12,0,172
4,2,3,12,0,186
5,1,3,12,0,165
5,1,3,12,0,196
5,1,3,12,0,124
5,1,3,12,0,136
5,1,3,12,0,126
5,1,3,12,0,102
5,1,3,12,0,120
5,1,3,12,0,90
5,1,3,12,0,75
5,1,3,12,0,61
5,1,3,12,0,62
5,1,3,12,0,42
5,1,3,12,0,43
5,1,3,12,0,55
5,1,3,12,0,53
5,1,3,12,0,63
5,1,3,12,0,42
5,1,3,12,0,29
5,1,3,12,0,30
5,1,3,12,0,25
5,1,3,12,0,67
5,1,3,12,0,36
5,1,3,12,0,38
5,1,3,12,0,94
5,2,3,16,0,117
5,2,3,16,0,250
5,2,3,16,0,331
5,2,3,16,0,558
5,2,3,16,0,557
5,2,3,16,0,692
5,2,3,16,0,932
5,2,3,16,0,651
5,2,3,16,0,760
5,2,3,16,0,601
5,2,3,16,0,580
5,2,3,16,0,517
5,2,3,16,0,483
5,2,3,16,0,461
5,2,3,16,0,467
5,2,3,16,0,456
5,2,3,16,0,436
5,2,3,16,0,452
5,2,3,16,0,449
5,2,3,16,0,493
5,2,3,16,0,422
5,2,3,16,0,467
5,2,3,16,0,479
5,2,3,16,0,419
5,2,3,16,0,490
5,2,3,16,0,459
5,2,3,16,0,485
5,2,3,16,0,487
5,2,3,16,0,528
5,2,3,16,0,488
5,2,3,16,0,409
5,2,3,16,0,483
5,2,3,16,0,594
5,2,3,16,0,514
5,2,3,16,0,549
5,2,3,16,0,497
5,2,3,16,0,554
5,2,3,16,0,442
5,2,3,16,0,532
5,2,3,16,0,595
5,2,3,16,0,602
5,2,3,16,0,797
5,2,3,16,0,585
5,2,3,16,0,656
5,2,3,16,0,728
5,2,3,16,0,702
5,2,3,16,0,778
5,2,3,16,0,858
5,2,1,9,0,655
5,2,1,9,0,812
5,2,1,9,0,704
5,2,1,9,0,633
